F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
4 S     0  1156     1  0  80   0 - 46486 poll_s ?        00:00:00 unattended-upgr
4 S     0  1173     1  0  80   0 - 157406 futex_ ?       00:00:00 snapd
4 S     0  1202     1  0  80   0 - 19692 wait   tty1     00:00:00 login
4 S     0  1219     1  0  80   0 - 73275 poll_s ?        00:00:00 polkitd
4 S  1000  1611     1  0  80   0 - 19200 ep_pol ?        00:00:00 systemd
5 S  1000  1622  1611  0  80   0 - 27960 sigtim ?        00:00:00 (sd-pam)
4 S  1000  1635  1202  0  80   0 -  5367 wait   tty1     00:00:00 bash
4 S     0  1978     1  0  80   0 - 18075 poll_s ?        00:00:00 sshd
1 I     0  2077     2  0  80   0 -     0 worker ?        00:00:00 kworker/u2:1
1 I     0  2090     2  0  80   0 -     0 worker ?        00:00:00 kworker/0:0
1 I     0  2123     2  0  80   0 -     0 worker ?        00:00:00 kworker/u2:0
4 S     0  2167  1635  0  80   0 - 15556 poll_s tty1     00:00:00 sudo
4 R     0  2168  2167  0  80   0 -  6905 -      tty1     00:00:00 ps
